# type	content
A	256.1.1.1
A	2001:db8::1
A	192.0.2
A	host.example.com.
AAAA	192.0.2.1
AAAA	::ffff:192.0.2.1
AAAA	2001:db8::zz
CNAME	1.2.3.4 extra
CNAME	
MX	mail.example.com.
MX	70000 mail.example.com.
MX	10
NS	
PTR	two words.example.
SRV	10 60 sip.example.com.
SRV	10 60 70000 sip.example.com.
SRV	x 60 5060 sip.example.com.
TXT	"unterminated
CAA	0 badtag "x"
CAA	5 issue "letsencrypt.org"
CAA	0 issue
DS	60485 5 1 NOTHEX
DS	70000 5 1 2BB183AF5F22588179A53B0A98631FAD1A292118
DS	60485 5 1 2BB1
DNSKEY	257 3 8 not base64 !!
DNSKEY	257 4 8 AwEAAag=
TLSA	4 1 1 0C72AC70B745AC19998811B131D662C9AC69DBDBE7CB23E5B514B56664C5D3D6
TLSA	3 1 1 0C72
TLSA	3 1 1 ZZ72AC70B745AC19998811B131D662C9AC69DBDBE7CB23E5B514B56664C5D3D6
SSHFP	1 1 12345
SSHFP	9 1 123456789ABCDEF67890123456789ABCDEF67890
SSHFP	1 1 GGGG56789ABCDEF67890123456789ABCDEF67890
NAPTR	100 10 "U" "E2U+sip"
NAPTR	70000 10 "U" "E2U+sip" "" .
SOA	ns1.example.com. hostmaster.example.com. 1 10800 3600 604800 3600
HINFO	"cpu" "os"
TXT	$INCLUDE /etc/passwd
A	192.0.2.1 ; comment
A	(192.0.2.1)
